Name,Year,Type,Mass (g),Fall,Latitude,Longitude
Desuri,1962-01-01T00:00:00.000,H6,,Fell,25.733330,73.616670
Devgaon,2001-01-01T00:00:00.000,H3.8,,Fell,19.000000,81.000000
Devri-Khera,1994-01-01T00:00:00.000,L6,,Fell,24.225000,76.525000
Dhajala,1976-01-01T00:00:00.000,H3.8,,Fell,22.377780,71.427220
Dharwar,1848-01-01T00:00:00.000,OC,,Fell,14.883330,75.600000
Dhurmsala,1860-01-01T00:00:00.000,LL6,,Fell,32.233330,76.466670
Didim,2007-01-01T00:00:00.000,H3-5,,Fell,37.351720,27.329970
Diep River,1906-01-01T00:00:00.000,L6,,Fell,-33.750000,18.566670
Distrito Quebracho,1957-01-01T00:00:00.000,H4,,Fell,-31.883330,-60.466670
Djati-Pengilon,1884-01-01T00:00:00.000,H6,,Fell,-7.500000,111.500000
Djermaia,1961-01-01T00:00:00.000,H,,Fell,12.733330,15.050000
Djoumine,1999-01-01T00:00:00.000,H5-6,,Fell,36.950000,9.550000
Dokachi,1903-01-01T00:00:00.000,H5,,Fell,23.500000,90.333330
Dolgovoli,1864-01-01T00:00:00.000,L6,,Fell,50.750000,25.300000
Domanitch,1907-01-01T00:00:00.000,L5,,Fell,40.000000,29.000000
Dong Ujimqin Qi,1995-01-01T00:00:00.000,Mesosiderite,,Fell,45.500000,119.033330
Donga Kohrod,1899-01-01T00:00:00.000,H6,,Fell,21.866670,82.450000
Dongtai,1970-01-01T00:00:00.000,LL6,,Fell,32.916670,120.783330
Doroninsk,1805-01-01T00:00:00.000,H5-7,,Fell,51.200000,112.300000
Dosso,1962-01-01T00:00:00.000,L6,,Fell,13.050000,3.166670
Douar Mghila,1932-01-01T00:00:00.000,LL6,,Fell,32.333330,-6.300000
Dowa,1976-01-01T00:00:00.000,Stone-uncl,,Fell,-13.666670,33.916670
Drake Creek,1827-01-01T00:00:00.000,L6,,Fell,36.400000,-86.500000
Dresden (Ontario),1939-01-01T00:00:00.000,H6,,Fell,42.520000,-82.260000
Dubrovnik,1951-01-01T00:00:00.000,L3-6,,Fell,42.458330,18.441670
Dunbogan,1999-01-01T00:00:00.000,L6,,Fell,-31.666670,152.833330
Dundrum,1865-01-01T00:00:00.000,H5,,Fell,52.550000,-8.033330
Dunhua,1976-01-01T00:00:00.000,Stone-uncl,,Fell,43.333330,128.250000
Durala,1815-01-01T00:00:00.000,L6,,Fell,30.300000,76.633330
Duruma,1853-01-01T00:00:00.000,L6,,Fell,-4.000000,39.500000
Duwun,1943-01-01T00:00:00.000,L6,,Fell,33.433330,127.266670
